index,title,soup
53,Thunder in My Heart,age adult life young friends unexpected demands come passions identities strive pasts terms meet group coming thunder heart swedish amydeasismont alexanderabdallah julialyskovajuhlin na drama
54,Saikojiman Gwaenchanha,extraordinary road book writer cross paths emotional healing opens selfish antisocial children selfless psych ward caretaker saikojiman gwaenchanha korean kimsoo-hyun seoye-ji ohjeong-se na comedy drama romance
55,Snabba Cash,business partners well brutal ever loyalty entrepreneurial jet set criminal world never friendships easy money tested chaotic ending quest ruthless two worlds collide snabba cash swedish evinahmad alexanderabdallah ayaanahmed na action crime drama thriller
56,Counterpart,war slowly heats agency sides hapless un employee discovers top spy spies thanks cold self hiding gateway works parallel dimension counterpart german english justinmarks j.k.simmons oliviawilliams harrylloyd drama sci-fi thriller
57,Coronation Street,longest running television soap world manchester working class people england everyday lives coronation street focuses coronation street english tonywarren williamroache helenworth sallydynevor drama romance
58,Alone,attempt ten survival winner receives 500 000 experts survive alone alone english nicoleapelian dan david na documentary reality-tv
59,Mirzapur,wedding procession ignites lawless city series events entangling lives mirzapur shocking incident two families mirzapur hindi puneetkrishna karananshuman pankajtripathi alifazal divyendusharma action crime drama thriller
60,Creepshow,silent creepshow ghoul anthology series terrifying tales hosted life fictional comic books come creepshow na karakimmer careyjones adriennebarbeau na fantasy horror mystery
61,Emergency!,emergencies crew paramedic team particularly rampart hospital respond operating area los angeles county fire department station 51 emergency na roberta.cinader haroldjackbloom randolphmantooth kevintighe julielondon action adventure comedy drama
62,Sweet Home,wipe race face try leave trying humanity must fight hyun late clock terrible accident new reality entire family forced odds monsters save loner high school student home lost left human sweet home korean songkang leejin-wook leesi-young na drama fantasy horror thriller
63,12 Monkeys,appears follows nearly destroy apocalyptic future present day locate deadly plague mission journey eradicate source time traveler post human race 12 monkeys english french german chechen japanese czech travisfickett terrymatalas aaronstanford amandaschull noahbean adventure drama mystery sci-fi thriller
64,Doctor Doctor,former big city doctor turned small town never expected soon finds turn everything comes crashing life takes rising heart surgeon doctor doctor english iancollie alanharris tonymcnamara rodgercorser nicoledasilva ryanjohnson comedy drama
65,Yasuke,mighty feudal lord legend came brutal 16th century japan called fought alongside became africa black samurai yasuke japanese english leseanthomas lakeithstanfield mayatanida williamchristopherstephens animation action adventure drama fantasy thriller
66,Naked Attraction,controversial dating series gradually revealed choose people see potential love interests whose naked bodies must get naked attraction english annarichardson sarahjaynesnow melissaedden na game-show romance
67,Matlock,associates defend finding ben matlock expensive criminal defense attorney take real killer worth every penny fortunately charges one hundred thousand dollars case clients matlock english deanhargrove andygriffith lindapurl keneholiday crime drama mystery
68,Duncanville,average kid named duncan dreams wear tie suit big without making duncanville english amypoehler mikescully juliethacker-scully amypoehler tyburrell rikilindhome animation comedy
69,The Mindy Project,small office workers young ob professional life quirky co gyn doctor balances surrounded personal mindy project english mindykaling mindykaling ikebarinholtz edweeks comedy
70,Into the Dark,horror anthology series episode inspired holiday dark english auroraperrineau dianesellers dylanarnold na drama fantasy horror mystery sci-fi thriller
71,Xena: Warrior Princess,together ancient world joined xena sets greater good dark past mighty warrior princess redeem journey ruthless warlords gods small town bard gabrielle fight xena warrior princess english samraimi johnschulian r.j.stewart lucylawless renéeo'connor tedraimi action adventure drama fantasy
72,Re: Zero Kara Hajimeru Isekai Seikatsu,summoned repeat find thugs alley new female companion awakes brutally murdered world subaru natsuki girl shortly day begins zero kara hajimeru isekai seikatsu japanese yûsukekobayashi rietakahashi seanchiplock na animation adventure drama fantasy horror mystery romance thriller
73,My Three Sons,widower steve douglas raises three sons wives boys join father help stepdaughter loving family adopted son later aided great another generation uncle law seasons three sons english fredmacmurray stanleylivingston dongrady na comedy family
74,I Am Not Okay with This,beginning teenage girl navigating mysterious superpowers awaken deep within family complexities tribulations dealing budding sexuality sydney trials high school okay english jonathanentwistle christyhall sophialillis wyattoleff sofiabryant comedy sci-fi
75,Crazy Ex-Girlfriend,unlikely locale west covina choice job new york young woman abandons attempt find happiness law firm life california crazy ex girlfriend english rachelbloom alinebroshmckenna rachelbloom donnalynnechamplin vincentrodrigueziii comedy musical
76,Harlots,raise daughters london brothel owner margaret wells struggles 18th century harlots english moirabuffini alisonnewman lesleymanville katefleetwood hollidempsey drama
77,The Deuce,80s manhattan porn prostitution look 1970s life rampant new york city deuce english georgepelecanos davidsimon jamesfranco maggiegyllenhaal lawrencegilliardjr. drama
