,index,title,year,language,episode_season_duration,genre,creators,stars,description,rating,trailer,weighted_rating,nameurls,soup
4261,4261,The Murdoch Mysteries,2004–2005,English,1h 30min,"Crime,Drama,Mystery","Peter Outerbridge,Flora Montgomery,Matthew MacFadzean",,"In 1890s Canada, a police inspector applies the latest scientific methods of deduction, much to the chagrin of his superiors.",7.8,,7.798175015239157,,much police inspector applies 1890s canada deduction chagrin latest scientific methods superiors murdoch mysteries english peterouterbridge floramontgomery matthewmacfadzean na crime drama mystery
4262,4262,O Maidens in Your Savage Season,2019– ,Japanese,24min,"Animation,Comedy,Drama,Romance","Elissa Cuellar,Blake Jackson,Brittney Karbowski",,"The girls in a high school literature club do a little icebreaker to get to know each other: answering the question, ""What's one thing you want to do before you die?"" One of the girls blurts out, ""Sex."" Little do they know, the whirlwind unleashed by that word pushes each of these girls, with different backgrounds and personalities, onto their own clumsy, funny, painf...",7.4,,7.398493754798754,"<a href=""http://araoto-anime.com/"">Original Site</a>","one whirlwind unleashed sex ."" different backgrounds personalities know painf ... little icebreaker get die ?"" high school literature club onto word pushes girls blurts question funny thing want clumsy answering maidens savage season japanese elissacuellar blakejackson brittneykarbowski na animation comedy drama romance"
4263,4263,Dempsey and Makepeace,1985–1986,English,1h,"Action,Crime,Drama,Mystery",Tony Wharmby,"Michael Brandon,Glynis Barber,Ray Smith","Dempsey, a tough NYPD cop, is sent to a London undercover police unit teamed up with the sophisticated, sexy, blonde Makepeace. They hunt down the top of London's underworld - when not quarreling.",7.4,,7.147418261597935,,dempsey quarreling tough nypd cop sexy london undercover police unit teamed blonde makepeace sophisticated sent top underworld hunt dempsey makepeace english tonywharmby michaelbrandon glynisbarber raysmith action crime drama mystery
4264,4264,Cousin Skeeter,1998–2001,English,30min,"Comedy,Family","Phil Beauman,Brian Robbins,Alonzo Brown","Rondell Sheridan,Angela Means,Meagan Good",A boy's cousin stays with his family. They get themselves into all sorts of funny situations.,6.8,,0.0,,funny situations cousin stays boy family sorts get cousin skeeter english philbeauman brianrobbins alonzobrown rondellsheridan angelameans meagangood comedy family
4265,4265,Ishq Mein Marjawan 2: Naya Safar,2020– ,Hindi,25min,"Action,Drama,Mystery,Romance,Thriller",Yash Patnaik,"Helly Shah,Rrahul Sudhir,Vishal Vashishtha","Riddhima and Vansh are back but this time, their relationship is not what it appears to be. Which new (or old?) enemy will they have to fight?",9.8,,9.34676623042753,"<a href=""https://www.mxplayer.in/show/watch-ishq-mein-marjawan-series-online-ae9c17b2fe636d72a07b615b9b45bd98"">mx player</a>",fight vansh old ?) appears enemy new back time relationship riddhima ishq mein marjawan 2 naya safar hindi yashpatnaik hellyshah rrahulsudhir vishalvashishtha action drama mystery romance thriller
4266,4266,Nikki,2000–2002,English,30min,Comedy,Bruce Helford,"Nikki Cox,Nick von Esmarch,Toby Huss","Nikki and Dwight follow their dreams, while Dwight's mother disapproves of Nikki and their lifestyle.",5.6,,5.60245684389215,,dreams nikki dwight mother disapproves lifestyle follow nikki english brucehelford nikkicox nickvonesmarch tobyhuss comedy
4267,4267,Baki the Grappler,2001–2007,"Japanese,English",24min,"Animation,Action,Drama,Sport,Thriller","Bob Carter,Masami Kikuchi,Robert McCollum",,Baki Hanma competes in an underground fighting tournament organized by Tokugawa. Masters of various fighting styles come from all over the world in order to determine who is the strongest fighter on Earth.,7.7,https://imdb.com/video/vi3806331417?playlistId=tt0981456&ref_=tt_ov_vi,0.0,"<a href=""http://www.bakithegrappler.com/"">Funimation</a>",determine masters order earth tokugawa underground fighting tournament organized various styles come baki hanma competes strongest fighter world baki grappler japanese english bobcarter masamikikuchi robertmccollum na animation action drama sport thriller
4268,4268,Frontline,1994–1997,English,30min,"Comedy,Drama","Santo Cilauro,Tom Gleisner,Jane Kennedy","Rob Sitch,Jane Kennedy,Tiriel Mora","Based on the making of a fictitious Australian CURRENT AFFAIRS show, Frontline blends invented events with REAL LIFE events. A true reflection of THE TIMES we live in.",8.4,,0.0,,real life events based making fictitious australian current affairs show live frontline blends invented true reflection times frontline english santocilauro tomgleisner janekennedy robsitch janekennedy tirielmora comedy drama
4269,4269,Dakteoseu,2016,Korean,1h,"Comedy,Drama,Romance","Park Shin-Hye,Eom Hyo-Seob,Moon Ji-In",,"Hye Jung is an uncivilized 16-year-old girl who finds her life miserable and nothing worth living (her mom died when she was little), so she never tries in school and always acts impolitely and violently towards others. Her father leaves her for her grandmother to take care of her. Until she accidentally bumps into a man (Ji Hong) while she steals a CD, and later he m...",7.7,,7.359852411707275,"<a href=""http://program.sbs.co.kr/builder/programSubOnline.do?pgm_id=22000009527&pgm_build_id=16905&pgm_mnu_id=43792"">Official site (South Korea)</a>, <a href=""https://www.vidio.com/premier/963/doctors"">Vidio (Indonesia)</a>","life miserable father leaves later accidentally bumps finds violently towards others ji hong old girl man ... year school never tries always acts impolitely mom died little ), grandmother cd take care nothing worth living steals uncivilized 16 hye jung dakteoseu korean parkshin-hye eomhyo-seob moonji-in na comedy drama romance"
4270,4270,Her Mother's Killer,2020– ,Spanish,,Drama,"Carolina Gómez,George Slebi,Brian Moreno",,"Nearly 30 years after her mom's murder, a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her.",7.7,https://imdb.com/video/vi2863776025?playlistId=tt10348078&ref_=tt_ov_vi,7.694636946768438,,nearly 30 years mom killed political strategist launches colombian presidential candidate murder calculated plan ruin mother killer spanish carolinagómez georgeslebi brianmoreno na drama
