title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Dawson's Creek,1998–2003,English,1h,"Drama,Romance",Kevin Williamson,"James Van Der Beek,Katie Holmes,Michelle Williams","Official Facebook,Official site","http://www.facebook.com/dawsonscreek,http://www.dawsonscreek.com/",Four friends in a small coastal town help each other cope with adolescence.,38000,6.6,https://imdb.com/video/vi2951152665?playlistId=tt0118300&ref_=tt_ov_vi
Nancy Drew,2019– ,English,44min,"Drama,Fantasy,Horror,Mystery","Noga Landau,Stephanie Savage,Josh Schwartz","Kennedy McMann,Leah Lewis,Maddison Jaizani","Official Facebook,Official Instagram","https://www.facebook.com/cwnancydrew/,https://www.instagram.com/cw_nancydrew/","Young Nancy Drew makes plans to leave her hometown for college after high school graduation, but finds herself drawn into a supernatural murder mystery.",5700,6.3,https://imdb.com/video/vi2614213657?playlistId=tt10313176&ref_=tt_ov_vi
Sex and the City,1998–2004,English,30min,"Comedy,Drama,Romance",Darren Star,"Sarah Jessica Parker,Kim Cattrall,Kristin Davis",HBO,http://www.hbo.com/city/,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.,110000,7.1,https://imdb.com/video/vi394723609?playlistId=tt0159206&ref_=tt_ov_vi
The Outsider,2020,English,1h,"Crime,Drama,Fantasy,Mystery,Thriller",Richard Price,"Ben Mendelsohn,Bill Camp,Jeremy Bobb","Official Facebook,Official Instagram","https://www.facebook.com/TheOutsiderHBO,https://www.instagram.com/theoutsiderhbo/",Investigators are confounded over an unspeakable crime that's been committed.,67000,7.7,https://imdb.com/video/vi790675225?playlistId=tt8550800&ref_=tt_ov_vi
Chesapeake Shores,2016– ,English,42min,"Drama,Family","John Tinker,Nancey Silvers","Barbara Niven,Jesse Metcalfe,Meghan Ory","official site,Official site","http://www.hallmarkchannel.com/chesapeake-shores,http://www.hallmarkchannel.com/chesapeake-shores","A young woman returns to her hometown to help save her sister's failing inn, where she contends with memories and faces from her past.",5200,7.5,https://imdb.com/video/vi414561817?playlistId=tt5151816&ref_=tt_ov_vi
Shrill,2019–2021,English,30min,Comedy,"Aidy Bryant,Alexandra Rushfield,Lindy West","Aidy Bryant,Lolly Adefope,John Cameron Mitchell",Hulu,https://www.hulu.com/shrill,A woman seeks out ways to change her life without changing her body.,6100,7.4,https://imdb.com/video/vi3304570905?playlistId=tt8962130&ref_=tt_ov_vi
Fringe,2008–2013,English,46min,"Drama,Mystery,Sci-Fi,Thriller","J.J. Abrams,Alex Kurtzman,Roberto Orci","Anna Torv,Joshua Jackson,John Noble",Official Facebook,http://www.facebook.com/Fringe,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.,224000,8.4,https://imdb.com/video/vi449970457?playlistId=tt1119644&ref_=tt_ov_vi
FBI: Most Wanted,2020– ,English,45min,"Action,Crime,Drama,Mystery,Thriller",Rene Balcer,"Julian McMahon,Kellan Lutz,Roxy Sternberg",Official CBS Site,https://www.cbs.com/shows/fbi-most-wanted/,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.,4000,6.7,https://imdb.com/video/vi2661269017?playlistId=tt9742936&ref_=tt_ov_vi
Gossip Girl,2007–2012,English,42min,"Drama,Romance","Stephanie Savage,Josh Schwartz","Blake Lively,Leighton Meester,Penn Badgley","CWTV,ITV (United Kingdom)","http://www.cwtv.com/shows/gossip-girl,http://www.itv.com/Drama/contemporary/GossipGirl/default.html",Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,158000,7.4,https://imdb.com/video/vi1910702361?playlistId=tt0397442&ref_=tt_ov_vi
Good Witch,2015– ,English,48min,"Comedy,Drama,Fantasy","Craig Pryce,Sue Tenney","Catherine Bell,Catherine Disher,James Denton",Official site,http://www.hallmarkchannel.com/good-witch,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",7900,7.3,https://imdb.com/video/vi3734552089?playlistId=tt3906732&ref_=tt_ov_vi
